10:18 calculation result: 10 / 5 = 2.0
11:13 calculation result: 10.5 + 3.5 = 14.0
11:14 calculation result: 3.1 - 24.15 = -21.049999999999997
11:18 calculation result: 23.13 + 133.313 = 156.44299999999998
11:24 calculation result: 21.2 + 317.9 = 95448164602583443/281474976710656
11:25 calculation result: 10.5 / 15.5 = 21/31
11:26 calculation result: 10.5 * 15.5 = 651/4
11:28 calculation result: 1.5 - 4.2 = -3039929748475085/1125899906842624
11:29 calculation result: 21.2 * 12.2 = 20491571952689326394941362887721/79228162514264337593543950336
12:21 calculation result: 23.0 / 31.0 = 0.7419354838709677
12:22 calculation result: 23.0 * 124.0 = 2852.0
12:23 calculation result: (31+0j) / 5j = -6.2j
12:24 calculation result: (31+0j) + (7+0j) = (38+0j)
13:59 calculation result: (34.1+0j) / (45.66+0j) = (0.7468243539202805+0j)
14:01 calculation result: 32.5 / 1.5 = 65/3
